Model,Seed,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
cmcm,1111,84.55,84.22,84.26,83.73,52.56,50.96,57.74,72.84
cmcm,2222,85.21,84.99,84.78,84.38,52.74,51.34,56.53,73.59
cmcm,3333,84.61,84.49,84.98,84.62,53.79,52.41,56.96,73.22
cmcm,4444,83.45,83.7,85.42,85.31,53.87,52.01,56.92,73.77
cmcm,5555,85.77,85.46,85.36,84.9,55.66,53.38,54.88,76.1
,,84.72,84.57,84.96,84.59,53.72,52.02,56.61,73.9
,,,,,,,,,
cmcm,1111,86.11,86.14,86.9,86.72,56.56,54.35,53.54,77.46
cmcm,2222,85.77,85.72,85.94,85.7,55.33,53.68,54.71,75.64
cmcm,3333,85.1,85.34,87.09,87.03,55.33,53.57,53.82,77.53
cmcm,4444,85.6,85.56,86.02,85.78,55.33,53.66,54.46,76.1
cmcm,5555,85.86,85.74,86.08,85.77,56.47,54.2,53.57,77.47
,,85.69,85.7,86.41,86.2,55.8,53.89,54.02,76.84
